Date,Price,Open,High,Low,Vol.,Change %
04/26/2024,3130.9,3155.83,3165.94,3104.77,263.09K,-0.79%
04/25/2024,3155.83,3141.03,3189.11,3078.65,369.13K,0.47%
04/24/2024,3141.03,3220.11,3292.31,3111.91,409.83K,-2.46%
04/23/2024,3220.13,3200.28,3262.5,3153.81,265.42K,0.61%
04/22/2024,3200.62,3147.84,3233.84,3130.24,306.74K,1.68%
04/21/2024,3147.83,3156.62,3195.43,3116.85,234.07K,-0.28%
04/20/2024,3156.63,3056.51,3168.9,3020.82,256.05K,3.29%
04/19/2024,3056.23,3064.49,3122.51,2871.82,645.65K,-0.27%
04/18/2024,3064.48,2985.82,3089.53,2955.31,423.99K,2.63%
04/17/2024,2985.82,3083.42,3123.68,2917.59,524.88K,-3.17%
04/16/2024,3083.43,3100.98,3125.19,2998.17,560.47K,-0.56%
04/15/2024,3100.94,3152.65,3273.03,3030.76,654.92K,-1.64%
04/14/2024,3152.65,3005.96,3168.52,2913.83,799.68K,4.93%
04/13/2024,3004.44,3237.16,3296.69,2863.89,1.06M,-7.27%
04-12-2024,3239.86,3502.55,3551.22,3150.92,739.63K,-7.50%
04-11-2024,3502.55,3545.16,3615.24,3479.15,349.38K,-1.20%
04-10-2024,3545.16,3506.95,3560.13,3419.12,404.41K,1.09%
04-09-2024,3506.96,3694.92,3723.75,3459.79,482.49K,-5.09%
04-08-2024,3694.93,3454.17,3727.87,3409.58,538.85K,6.97%
04-07-2024,3454.17,3351.99,3459.43,3344.89,217.80K,3.05%
04-06-2024,3352.03,3317.84,3394.8,3307.23,190.08K,1.03%
04-05-2024,3317.84,3327.45,3344.17,3212.89,359.70K,-0.29%
04-04-2024,3327.45,3310.82,3435.57,3254.31,371.23K,0.51%
04-03-2024,3310.62,3278.01,3366.75,3203.21,426.57K,1.00%
04-02-2024,3277.99,3502.84,3505.39,3216.48,647.13K,-6.42%
04-01-2024,3502.82,3647.08,3647.08,3421.96,422.72K,-3.96%
03/31/2024,3647.09,3506.82,3652.97,3505.17,252.38K,4.00%
03/30/2024,3506.83,3509.76,3564.04,3487.64,224.95K,-0.08%
03/29/2024,3509.76,3559.43,3583.18,3475.04,334.49K,-1.40%
03/28/2024,3559.43,3500.43,3609.66,3470.62,416.69K,1.69%
03/27/2024,3500.43,3587.48,3661.91,3462.44,460.87K,-2.43%
03/26/2024,3587.5,3590.62,3677.24,3544.55,520.43K,-0.09%
03/25/2024,3590.62,3455.35,3651.3,3421.09,584.66K,3.92%
03/24/2024,3455.33,3332.87,3469.66,3300.74,270.03K,3.67%
03/23/2024,3332.9,3334.19,3430.04,3275.78,334.86K,-0.04%
03/22/2024,3334.12,3492.89,3541.65,3254.56,589.84K,-4.55%
03/21/2024,3493.23,3514.73,3583.02,3413.6,638.79K,-0.61%
03/20/2024,3514.73,3165.07,3531.37,3063.6,1.26M,11.04%
03/19/2024,3165.2,3520.32,3546.23,3151.42,1.11M,-10.09%
03/18/2024,3520.3,3644.77,3644.77,3454.94,588.48K,-3.42%
03/17/2024,3644.78,3523.66,3678.07,3421.42,549.29K,3.44%
03/16/2024,3523.68,3741.16,3778.6,3476.82,567.02K,-5.81%
03/15/2024,3741.12,3881.7,3931.33,3591.51,981.71K,-3.68%
03/14/2024,3883.94,4004.3,4009.92,3729.51,672.52K,-3.01%
03/13/2024,4004.29,3979.3,4078.48,3935.6,503.46K,0.63%
03-12-2024,3979.3,4065.15,4091.28,3843.45,685.77K,-2.11%
03-11-2024,4065.02,3878.47,4081.72,3756.39,767.30K,4.81%
03-10-2024,3878.47,3905.17,3961.94,3793.64,372.52K,-0.68%
03-09-2024,3905.17,3883.2,3941.34,3872.96,265.43K,0.57%
03-08-2024,3883.2,3868.75,3991.89,3825.16,686.06K,0.35%
03-07-2024,3869.69,3814.56,3932.77,3736.33,568.32K,1.45%
03-06-2024,3814.56,3555.94,3899.99,3503.51,1.02M,7.27%
03-05-2024,3556.03,3626.39,3819.79,3237.28,1.48M,-1.94%
03-04-2024,3626.34,3488.67,3638.1,3445.47,769.53K,3.95%
03-03-2024,3488.67,3420.64,3491.53,3364.44,363.55K,1.99%
03-02-2024,3420.64,3433.51,3459.96,3395.03,296.91K,-0.37%
03-01-2024,3433.51,3339.25,3449.56,3339.24,431.98K,2.82%
02/29/2024,3339.26,3382.98,3520.8,3300.42,802.17K,-1.29%
02/28/2024,3383.03,3242.44,3482.48,3183.92,1.01M,4.35%
02/27/2024,3242.14,3175.94,3285.01,3165.91,674.56K,2.08%
